displayName,printYear,author,printLocation,category,source,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,displayNameEnglish,authorEnglish,categoryEnglish,printLocationEnglish,underwentBerelUnflagging,fileName,notHumanReviewed
https://files.dicta.org.il/library-1-0/ateretmenachem/ateretmenachem__ocr_data_html_files.zip,עטרת מנחם,1910,מנחם מנדל בן יוסף מרימאנוב,בילגוריי,חסידות,ספריית דיקטה,https://files.dicta.org.il/library-1-0/ateretmenachem/ateretmenachem__text_files.zip,https://files.dicta.org.il/library-1-0/ateretmenachem/ateretmenachem__nikud_meteg_files.zip,ateretmenachem,Ateret Menachem,Menachem Mendel Torem of Rimanov,Chassidut,Bilgoraj,,ateretmenachem,
https://files.dicta.org.il/library-1-0/avneihachoshen1/avneihachoshen1__ocr_data_html_files.zip,אבני החושן חלק א,1932,שלמה רייזנר,בילגוריי,שונות,ספריית דיקטה,https://files.dicta.org.il/library-1-0/avneihachoshen1/avneihachoshen1__text_files.zip,https://files.dicta.org.il/library-1-0/avneihachoshen1/avneihachoshen1__nikud_meteg_files.zip,avneihachoshen1,Avnei haChoshen part 1,Shlomo Riezner,Miscellaneous,Bilgoraj,,avneihachoshen1,
https://files.dicta.org.il/library-1-0/avneihaephod1/avneihaephod1__ocr_data_html_files.zip,אבני האפוד חלק א,1913,דוד פיפאנו,סופיה,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/avneihaephod1/avneihaephod1__text_files.zip,https://files.dicta.org.il/library-1-0/avneihaephod1/avneihaephod1__nikud_meteg_files.zip,avneihaephod1,Avnei Ha-Ephod part 1,Dovid Ben Avraham Pipeno,Responsa,Sofia,,avneihaephod1,
https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart1/avneimiluimshulchanaruchevenhaezerpart1__ocr_data_html_files.zip,אבני מילואים על השולחן ערוך - א,1860,אריה ליב בן יוסף הכהן (בעל הקצות),הלברשטאדט,הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart1/avneimiluimshulchanaruchevenhaezerpart1__text_files.zip,https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart1/avneimiluimshulchanaruchevenhaezerpart1__nikud_meteg_files.zip,avneimiluimshulchanaruchevenhaezerpart1_EGT,Avnei Milu’im (Shulchan Aruch) part 1,Aryeh Leib HaCohen Heller,Halakha and Minhaggim,Halberstadt,,avneimiluimshulchanaruchevenhaezerpart1,
https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart2/avneimiluimshulchanaruchevenhaezerpart2__ocr_data_html_files.zip,אבני מילואים על השולחן ערוך - ב,1860,אריה ליב בן יוסף הכהן (בעל הקצות),הלברשטאדט,הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart2/avneimiluimshulchanaruchevenhaezerpart2__text_files.zip,https://files.dicta.org.il/library-1-0/avneimiluimshulchanaruchevenhaezerpart2/avneimiluimshulchanaruchevenhaezerpart2__nikud_meteg_files.zip,avneimiluimshulchanaruchevenhaezerpart2,Avnei Milu’im (Shulchan Aruch) part 2,Aryeh Leib HaCohen Heller,Halakha and Minhaggim,Halberstadt,,avneimiluimshulchanaruchevenhaezerpart2,
https://files.dicta.org.il/library-1-0/baithayotzer1/baithayotzer1__ocr_data_html_files.zip,בית היוצר חלק א,1896,"רוט, יואל צבי בן שמעון",מונקאטש (מונקאץ'),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/baithayotzer1/baithayotzer1__text_files.zip,https://files.dicta.org.il/library-1-0/baithayotzer1/baithayotzer1__nikud_meteg_files.zip,baithayotzer1,Bait haYotzer part 1,Yoel Tzvi ben Shimon Rott,Responsa,Munkatch (Mukacheve),,baithayotzer1,
https://files.dicta.org.il/library-1-0/baityaakovtushinsky/baityaakovtushinsky__ocr_data_html_files.zip,בית יעקב (טבשונסקי),1912,יעקב טובושונסקי,ורשה,הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/library-1-0/baityaakovtushinsky/baityaakovtushinsky__text_files.zip,https://files.dicta.org.il/library-1-0/baityaakovtushinsky/baityaakovtushinsky__nikud_meteg_files.zip,baityaakovtushinsky,Bait Yaakov (Tushinsky),Yaakov Tushinsky,Halakha and Minhaggim,Warsaw,,baityaakovtushinsky,
https://files.dicta.org.il/library-1-0/baityehezkel/baityehezkel__ocr_data_html_files.zip,בית יחזקאל (מיכלסון),1924,ר' צבי יחזקאל מיכלסון,פיוטריקוב,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/baityehezkel/baityehezkel__text_files.zip,https://files.dicta.org.il/library-1-0/baityehezkel/baityehezkel__nikud_meteg_files.zip,baityehezkel,Bait Yehezkel Michelson,Tzvi Yehezkel Michelson,Responsa,Piotrków,,baityehezkel,
https://files.dicta.org.il/library-1-0/barukhmordekhai1/barukhmordekhai1__ocr_data_html_files.zip,ברוך מרדכי חלק א,1875,ר' מרדכי פריד,למברג (לבוב),תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/barukhmordekhai1/barukhmordekhai1__text_files.zip,https://files.dicta.org.il/library-1-0/barukhmordekhai1/barukhmordekhai1__nikud_meteg_files.zip,barukhmordekhai1,Barukh Mordekhai part 1,"Frid, Mordekhai",Talmud and Commentaries,Lemberg (Lvov),,barukhmordekhai1,
https://files.dicta.org.il/library-1-0/barukhmordekhai2/barukhmordekhai2__ocr_data_html_files.zip,ברוך מרדכי חלק ב,1875,ר' מרדכי פריד,למברג (לבוב),תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/barukhmordekhai2/barukhmordekhai2__text_files.zip,https://files.dicta.org.il/library-1-0/barukhmordekhai2/barukhmordekhai2__nikud_meteg_files.zip,barukhmordekhai2,Barukh Mordekhai part 2,"Frid, Mordekhai",Talmud and Commentaries,Lemberg (Lvov),,barukhmordekhai2,
https://files.dicta.org.il/library-1-0/beermordechai/beermordechai__ocr_data_html_files.zip,באר מרדכי,1927,ר' מרדכי פרהנד,גאלאץ,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beermordechai/beermordechai__text_files.zip,https://files.dicta.org.il/library-1-0/beermordechai/beermordechai__nikud_meteg_files.zip,beermordechai,Beer Mordechai,Rabbi Mordechai Farhand,Responsa,Galati,,beermordechai,
https://files.dicta.org.il/library-1-0/beeryitzchakbillitzer/beeryitzchakbillitzer__ocr_data_html_files.zip,"באר יצחק עה""ת",1898,ר' יצחק ביליצר,פקש,"תנ""ך ומפרשיו",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beeryitzchakbillitzer/beeryitzchakbillitzer__text_files.zip,https://files.dicta.org.il/library-1-0/beeryitzchakbillitzer/beeryitzchakbillitzer__nikud_meteg_files.zip,beeryitzchakbillitzer,Beer Yitzchak Billitzer,Rabbi Yitzchak Billitzer,Tanakh and Commentaries,Paks,,beeryitzchakbillitzer,
https://files.dicta.org.il/library-1-0/beitmeirshas/beitmeirshas__ocr_data_html_files.zip,"בית מאיר ש""ס",1884,מאיר פוזנר,ורשה,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/beitmeirshas/beitmeirshas__text_files.zip,https://files.dicta.org.il/library-1-0/beitmeirshas/beitmeirshas__nikud_meteg_files.zip,beitmeirshas,Beit Meir shas,rabbi meir posner,Talmud and Commentaries,Warsaw,,beitmeirshas,
https://files.dicta.org.il/library-1-0/beitshearimyorehdeah1/beitshearimyorehdeah1__ocr_data_html_files.zip,בית שערים יורה דעה חלק א,1941,עמרם בלום,גרוסורדן (אורדיאה) ,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beitshearimyorehdeah1/beitshearimyorehdeah1__text_files.zip,https://files.dicta.org.il/library-1-0/beitshearimyorehdeah1/beitshearimyorehdeah1__nikud_meteg_files.zip,beitshearimyorehdeah1_EGT,Beit She'arim Yoreh Deah part 1,Amram Blum,Responsa,Grosswardien (Oradea) ,,beitshearimyorehdeah1,
https://files.dicta.org.il/library-1-0/beitshlomoyorehdeahmahadurabatra1/beitshlomoyorehdeahmahadurabatra1__ocr_data_html_files.zip,בית שלמה יורה דעה מהדורא בתרא חלק א,1878,שלמה דרימר,למברג (לבוב),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beitshlomoyorehdeahmahadurabatra1/beitshlomoyorehdeahmahadurabatra1__text_files.zip,https://files.dicta.org.il/library-1-0/beitshlomoyorehdeahmahadurabatra1/beitshlomoyorehdeahmahadurabatra1__nikud_meteg_files.zip,beitshlomoyorehdeahmahadurabatra1,Beit Shlomo Yoreh Deah mahadura batra part 1,Shlomo Dreimer,Responsa,Lemberg (Lvov),,beitshlomoyorehdeahmahadurabatra1,
https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah1/beityitzchakyorehdeah1__ocr_data_html_files.zip,בית יצחק יורה דעה חלק א,1888,יצחק י-הודה שמלקיש,פרמישלה,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah1/beityitzchakyorehdeah1__text_files.zip,https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah1/beityitzchakyorehdeah1__nikud_meteg_files.zip,beityitzchakyorehdeah1_EGT,Beit Yitzchak Yoreh Deah part 1,Yitsḥak Yehudah Schmelkes,Responsa,Przemyśl,,beityitzchakyorehdeah1,
https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah2/beityitzchakyorehdeah2__ocr_data_html_files.zip,בית יצחק יורה דעה חלק ב,1895,יצחק י-הודה שמלקיש,פרמישלה,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah2/beityitzchakyorehdeah2__text_files.zip,https://files.dicta.org.il/library-1-0/beityitzchakyorehdeah2/beityitzchakyorehdeah2__nikud_meteg_files.zip,beityitzchakyorehdeah2_EGT,Beit Yitzchak Yoreh Deah part 2,Yitsḥak Yehudah Schmelkes,Responsa,Przemyśl,,beityitzchakyorehdeah2,
https://files.dicta.org.il/library-1-0/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__ocr_data_html_files.zip,"בקע לגולגולת (שו""ת)",1884,אליהו אלמליח,ירושלים,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__text_files.zip,https://files.dicta.org.il/library-1-0/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__nikud_meteg_files.zip,bekalegulgoletshulchanaruch,Beka Legulgolet (Shulchan Aruch),Rabbi Eliyahu Elmaleh,Responsa,Jerusalem,,bekalegulgoletshulchanaruch,
https://files.dicta.org.il/library-1-0/benyamin/benyamin__ocr_data_html_files.zip,בן ימין,1896,רבי רחמים חיים יהודה ישראל,סאלוניקי,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/benyamin/benyamin__text_files.zip,https://files.dicta.org.il/library-1-0/benyamin/benyamin__nikud_meteg_files.zip,benyamin_EGT,Ben Yamin,Rachamim Chaim Yehudah ben Michoel Yakov Yisroel,Responsa,Salonika (Thessaloniki),,benyamin,
https://files.dicta.org.il/library-1-0/berityaakov2/berityaakov2__ocr_data_html_files.zip,ברית יעקב חלק ב,1876,ברוך מרדכי ליבשיץ,ורשה,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/berityaakov2/berityaakov2__text_files.zip,https://files.dicta.org.il/library-1-0/berityaakov2/berityaakov2__nikud_meteg_files.zip,berityaakov2,Berit Yaaḳov part 2,"Libschitz, Baruch Mordecai",Responsa,Warsaw,,berityaakov2,
https://files.dicta.org.il/library-1-0/binatnevonim/binatnevonim__ocr_data_html_files.zip,בינת נבונים,1893,ניסן מרקל,ורשה,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/binatnevonim/binatnevonim__text_files.zip,https://files.dicta.org.il/library-1-0/binatnevonim/binatnevonim__nikud_meteg_files.zip,binatnevonim,Binat Nevonim,Isaac Lifietz of Shedlitz,Talmud and Commentaries,Warsaw,,binatnevonim,
https://files.dicta.org.il/library-1-0/binyandavid1/binyandavid1__ocr_data_html_files.zip,בנין דוד א,1942,ר' דוד דב מייזליש,אויהל (שטורליאוהי),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/binyandavid1/binyandavid1__text_files.zip,https://files.dicta.org.il/library-1-0/binyandavid1/binyandavid1__nikud_meteg_files.zip,binyandavid1,Binyan David part1,Rabbi David Dov Meiselis,Responsa,Ujhely (Satoraljaujhely),,binyandavid1,
https://files.dicta.org.il/library-1-0/binyandavidresponsa/binyandavidresponsa__ocr_data_html_files.zip,"שו""ת בנין דוד",1932,ר' דוד דב מייזליש,אויהל (שטורליאוהי),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/binyandavidresponsa/binyandavidresponsa__text_files.zip,https://files.dicta.org.il/library-1-0/binyandavidresponsa/binyandavidresponsa__nikud_meteg_files.zip,binyandavidresponsa,Shut Binyan David,Rabbi David Dov Meiselis,Responsa,Ujhely (Satoraljaujhely),,binyandavidresponsa,
https://files.dicta.org.il/library-1-0/bircatavrahamberakhot/bircatavrahamberakhot__ocr_data_html_files.zip,ברכת אברהם (ברכות),1930,אברהם אביש,פיוטריקוב,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/bircatavrahamberakhot/bircatavrahamberakhot__text_files.zip,https://files.dicta.org.il/library-1-0/bircatavrahamberakhot/bircatavrahamberakhot__nikud_meteg_files.zip,bircatavrahamberakhot,Bircat Avraham Berakhot,"Abish, Avraham",Talmud and Commentaries,Piotrków,,bircatavrahamberakhot,
https://files.dicta.org.il/library-1-0/birchatroshberakhot/birchatroshberakhot__ocr_data_html_files.zip,ברכת ראש ברכות,1891,"אשכנזי, אשר בן צבי הירש, הכהן",פיוטריקוב,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/birchatroshberakhot/birchatroshberakhot__text_files.zip,https://files.dicta.org.il/library-1-0/birchatroshberakhot/birchatroshberakhot__nikud_meteg_files.zip,birchatroshberakhot,Birchat Rosh (Berakhot),Asher Cohen,Talmud and Commentaries,Piotrków,,birchatroshberakhot,
https://files.dicta.org.il/library-1-0/birchatroshnazir/birchatroshnazir__ocr_data_html_files.zip,ברכת ראש נזיר,1876,"אשכנזי, אשר בן צבי הירש, הכהן",ורשה,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/birchatroshnazir/birchatroshnazir__text_files.zip,https://files.dicta.org.il/library-1-0/birchatroshnazir/birchatroshnazir__nikud_meteg_files.zip,birchatroshnazir,Birchat Rosh (Nazir),Asher Cohen,Talmud and Commentaries,Warsaw,,birchatroshnazir,
https://files.dicta.org.il/library-1-0/birkatavrahamyener/birkatavrahamyener__ocr_data_html_files.zip,ברכת אברהם (יענר),1870,אברהם נפתלי הירץ ינר ,למברג (לבוב),"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/birkatavrahamyener/birkatavrahamyener__text_files.zip,https://files.dicta.org.il/library-1-0/birkatavrahamyener/birkatavrahamyener__nikud_meteg_files.zip,birkatavrahamyener,Birkat Avraham (Yener),"Yener, Avraham Naftali Hirts",Responsa,Lemberg (Lvov),,birkatavrahamyener,
https://files.dicta.org.il/library-1-0/birkatcohen/birkatcohen__ocr_data_html_files.zip,ברכת כהן,1908,"רפפורט, טוביה גוטמן",פיוטריקוב,"שאלות ותשובות (שו""ת)",ספריית דיקטה,https://files.dicta.org.il/library-1-0/birkatcohen/birkatcohen__text_files.zip,https://files.dicta.org.il/library-1-0/birkatcohen/birkatcohen__nikud_meteg_files.zip,birkatcohen,Birkat Cohen,"Rappoport, Tuviah Gutman",Responsa,Piotrków,,birkatcohen,
https://files.dicta.org.il/library-1-0/biyurmordechaiberakhot/biyurmordechaiberakhot__ocr_data_html_files.zip,ביאור מרדכי ברכות,1813,ר' מרדכי בנט,וינה,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/biyurmordechaiberakhot/biyurmordechaiberakhot__text_files.zip,https://files.dicta.org.il/library-1-0/biyurmordechaiberakhot/biyurmordechaiberakhot__nikud_meteg_files.zip,biyurmordechaiberakhot,Biyur Mordechai Berakhot,Rabbi Mordechai Bent,Talmud and Commentaries,Vienna,,biyurmordechaiberakhot,
https://files.dicta.org.il/library-1-0/chiddusheihamaharit/chiddusheihamaharit__ocr_data_html_files.zip,חידושי המהרי”ט,1861,יוסף מטראני,למברג (לבוב),תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/chiddusheihamaharit/chiddusheihamaharit__text_files.zip,https://files.dicta.org.il/library-1-0/chiddusheihamaharit/chiddusheihamaharit__nikud_meteg_files.zip,chiddusheihamaharit_EGT,Chiddushei Ha-Maharit,Joseph Trani,Talmud and Commentaries,Lemberg (Lvov),,chiddusheihamaharit,
https://files.dicta.org.il/library-1-0/chidusheiharadad/chidusheiharadad__ocr_data_html_files.zip,"חידושי הרד""ד",1890,דוד דוב בן אהרן אריה יהודה יעקב מייזלש ,ורשה,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/chidusheiharadad/chidusheiharadad__text_files.zip,https://files.dicta.org.il/library-1-0/chidusheiharadad/chidusheiharadad__nikud_meteg_files.zip,chidusheiharadad,Chidushei haRadad,David Dov Meisels,Talmud and Commentaries,Warsaw,,chidusheiharadad,
https://files.dicta.org.il/library-1-0/chidusheimahariketuvot/chidusheimahariketuvot__ocr_data_html_files.zip,"חידושי מהרי""א על כתובות",1931,רבי יהודה אסאד,טורנוב,תלמוד ומפרשיו,ספריית דיקטה,https://files.dicta.org.il/library-1-0/chidusheimahariketuvot/chidusheimahariketuvot__text_files.zip,https://files.dicta.org.il/library-1-0/chidusheimahariketuvot/chidusheimahariketuvot__nikud_meteg_files.zip,chidusheimahariketuvot,Hidushei Mahari Ketuvot,Yehudah Assad,Talmud and Commentaries,Turnau (Turnov),,chidusheimahariketuvot,
https://files.dicta.org.il/library-1-0/chopatchatanim/chopatchatanim__ocr_data_html_files.zip,חופת חתנים,1875,רפאל בן חזקיהו מילדולה ,ורשה,הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/library-1-0/chopatchatanim/chopatchatanim__text_files.zip,https://files.dicta.org.il/library-1-0/chopatchatanim/chopatchatanim__nikud_meteg_files.zip,chopatchatanim,Chopat Chatanim,Raphael Meldola,Halakha and Minhaggim,Warsaw,,chopatchatanim,
https://files.dicta.org.il/library-1-0/darkheteshuvah1/darkheteshuvah1__ocr_data_html_files.zip,דרכי תשובה - א,1892,צבי הירש שפירא,וילנה,הלכה ומנהג,ספריית דיקטה,https://files.dicta.org.il/library-1-0/darkheteshuvah1/darkheteshuvah1__text_files.zip,https://files.dicta.org.il/library-1-0/darkheteshuvah1/darkheteshuvah1__nikud_meteg_files.zip,darkheteshuvah1,Darkhe teshuvah part 1,"Shapira, Tsevi Hirsh",Halakha and Minhaggim,Vilna (Vilnius),,darkheteshuvah1,
